chapter_title,chapter_nr,book_title
28 News in a Cloth Sack,28,Winter's Heart
29 Another Plan,29,Winter's Heart
"30 Cold, Fat Raindrops",30,Winter's Heart
31 What the Aelfinn Said,31,Winter's Heart
32 A Portion of Wisdom,32,Winter's Heart
33 Blue Carp Street,33,Winter's Heart
34 The Hummingbird's Secret,34,Winter's Heart
35 With the Choedan Kal,35,Winter's Heart
Prologue: Glimmers of the Pattern,Prologue,Crossroads of Twilight
1 Time to Be Gone,1,Crossroads of Twilight
2 Two Captains,2,Crossroads of Twilight
3 A Fan of Colors,3,Crossroads of Twilight
4 The Tale of a Doll,4,Crossroads of Twilight
5 The Forging of a Hammer,5,Crossroads of Twilight
6 The Scent of a Dream,6,Crossroads of Twilight
7 Blacksmith's Puzzle,7,Crossroads of Twilight
8 Whirlpools of Color,8,Crossroads of Twilight
9 Traps,9,Crossroads of Twilight
10 A Blazing Beacon,10,Crossroads of Twilight
11 Talk of Debts,11,Crossroads of Twilight
12 A Bargain,12,Crossroads of Twilight
13 High Seats,13,Crossroads of Twilight
14 What Wise Ones Know,14,Crossroads of Twilight
15 Gathering Darkness,15,Crossroads of Twilight
16 The Subject of Negotiations,16,Crossroads of Twilight
17 Secrets,17,Crossroads of Twilight
18 A Chat with Siuan,18,Crossroads of Twilight
19 Surprises,19,Crossroads of Twilight
20 In the Night,20,Crossroads of Twilight
21 A Mark,21,Crossroads of Twilight
22 One Answer,22,Crossroads of Twilight
23 Ornaments,23,Crossroads of Twilight
24 A Strengthening Storm,24,Crossroads of Twilight
25 When to Wear Jewels,25,Crossroads of Twilight
26 In So Habor,26,Crossroads of Twilight
27 What Must Be Done,27,Crossroads of Twilight
28 A Cluster of Rosebuds,28,Crossroads of Twilight
29 Something Flickers,29,Crossroads of Twilight
30 What the Oath Rod Can Do,30,Crossroads of Twilight
Epilogue: An Answer,Epilogue,Crossroads of Twilight
Prologue: Embers Falling on Dry Grass,Prologue,Knife of Dreams
1 When Last Sounds,1,Knife of Dreams
2 The Dark One's Touch,2,Knife of Dreams
3 At the Gardens,3,Knife of Dreams
4 A Deal,4,Knife of Dreams
5 Something… Strange,5,Knife of Dreams
6 A Stave and a Razor,6,Knife of Dreams
7 A Cold Medallion,7,Knife of Dreams
8 Dragons' Eggs,8,Knife of Dreams
9 A Short Path,9,Knife of Dreams
10 A Village in Shiota,10,Knife of Dreams
11 A Hell in Maderin,11,Knife of Dreams
12 A Manufactory,12,Knife of Dreams
13 Siege,13,Knife of Dreams
14 Wet Things,14,Knife of Dreams
